year,player,games_played,innings_played_in_outs,putouts,assists,errors,field_positions,teams
1983,Dave Stewart,54,405,9,17,1,['P'],"['Los Angeles Dodgers', 'Texas Rangers']"
1983,Dave Stieb,36,834,28,33,2,['P'],['Toronto Blue Jays']
1983,Dave Winfield,151,3950,313,5,7,['OF'],['New York Yankees']
1983,Davey Lopes,135,3188,267,287,9,"['OF', '2B', '3B']",['Oakland Athletics']
1983,Dennis Eckersley,28,529,19,18,1,['P'],['Boston Red Sox']
1983,Dennis Lamp,49,349,9,16,0,['P'],['Chicago White Sox']
1983,Dennis Martinez,32,459,16,42,1,['P'],['Baltimore Orioles']
1983,Denny Walling,68,809,134,29,6,"['OF', '1B', '3B']",['Houston Astros']
1983,Dick Schofield,21,517,24,67,7,['SS'],['California Angels']
1983,Don Money,13,309,25,33,1,"['1B', '3B']",['Milwaukee Brewers']
1983,Don Slaught,79,1941,299,18,12,['C'],['Kansas City Royals']
1983,Don Sutton,31,661,13,23,1,['P'],['Milwaukee Brewers']
1983,Doyle Alexander,25,435,13,19,1,['P'],"['New York Yankees', 'Toronto Blue Jays']"
1983,Dusty Baker,143,3604,249,4,5,['OF'],['Los Angeles Dodgers']
1983,Dwight Evans,99,2636,222,6,3,['OF'],['Boston Red Sox']
1983,Eddie Murray,153,4083,1393,114,10,['1B'],['Baltimore Orioles']
1983,Fergie Jenkins,33,502,16,18,0,['P'],['Chicago Cubs']
1983,Fernando Valenzuela,35,771,20,54,2,['P'],['Los Angeles Dodgers']
1983,Frank Tanana,29,478,9,37,2,['P'],['Texas Rangers']
1983,Frank White,145,3724,390,442,8,['2B'],['Kansas City Royals']
1983,Fred Lynn,113,2999,274,8,2,['OF'],['California Angels']
1983,Garry Templeton,123,3118,219,355,24,['SS'],['San Diego Padres']
1983,Gary Carter,145,3808,855,108,5,"['C', '1B']",['Montreal Expos']
1983,Gary Gaetti,157,4086,131,361,17,"['3B', 'SS']",['Minnesota Twins']
1983,Gary Matthews,122,2915,174,11,5,['OF'],['Philadelphia Phillies']
